LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC000131,2011-12-15,0.485,0.43204545454545457,0.868,22,0.23914579678767536,9.505,0.07200000000000001
MAC000131,2011-12-16,0.1415,0.29616666875000003,1.1160001,48,0.2814713178628203,14.216000100000002,0.031
MAC000131,2011-12-17,0.1015,0.1898125,0.685,48,0.1884046862418033,9.111,0.064
MAC000131,2011-12-18,0.114,0.2189791666666666,0.6759999999999999,48,0.20291927853038208,10.510999999999996,0.065
MAC000131,2011-12-19,0.191,0.32597916666666665,0.7879999999999999,48,0.2592049619947409,15.646999999999998,0.066
MAC000131,2011-12-20,0.21800000000000005,0.3575,1.077,48,0.28759657027517305,17.16,0.066
MAC000131,2011-12-21,0.1305,0.2350833333333333,0.705,48,0.2220696491599295,11.284,0.066
MAC000131,2011-12-22,0.08900000000000001,0.22135416666666666,1.094,48,0.26723887549908265,10.625,0.062
MAC000131,2011-12-23,0.16049999999999998,0.291125,0.7490000000000001,48,0.24907604794434665,13.973999999999998,0.065
MAC000131,2011-12-24,0.107,0.16899999999999998,0.613,47,0.15068466931050878,7.943,0.065
MAC000131,2011-12-25,0.2175,0.33918750000000003,0.866,48,0.26310119857478675,16.281000000000002,0.069
MAC000131,2011-12-26,0.14950000000000002,0.2617083333333333,0.838,48,0.2447927441503373,12.562000000000001,0.066
MAC000131,2011-12-27,0.14300000000000002,0.2740000000000001,0.778,48,0.25212745847913703,13.152000000000005,0.068
MAC000131,2011-12-28,0.14550000000000002,0.3005208333333333,1.207,48,0.29868028801773083,14.425,0.066
MAC000131,2011-12-29,0.152,0.3070416666666667,0.888,48,0.2644546341928976,14.738,0.066
MAC000131,2011-12-30,0.135,0.27685416666666673,0.782,48,0.261185756802965,13.289000000000005,0.064
MAC000131,2011-12-31,0.1515,0.32572916666666674,1.252,48,0.3098882941898363,15.635000000000005,0.066
MAC000131,2012-01-01,0.151,0.25602083333333336,0.812,48,0.2252494116065079,12.289,0.068
MAC000131,2012-01-02,0.134,0.2520833333333333,0.851,48,0.23721296951853504,12.1,0.068
