#datatype measurement,tag,dateTime:RFC3339,string,double,double,double,double,double,double,double
name,LCLid,day,day_2,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-15T00:00:00Z,0.485,0.43204545454545457,0.868,22,0.23914579678767536,9505,0.07200000000000001
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-16T00:00:00Z,0.1415,0.29616666875000003,11160001,48,0.2814713178628203,14216000100000000,0.031
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-17T00:00:00Z,0.1015,0.1898125,0.685,48,0.1884046862418033,9111,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-18T00:00:00Z,0.114,0.2189791666666666,0.6759999999999999,48,0.20291927853038208,10510999999999900,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-19T00:00:00Z,0.191,0.32597916666666665,0.7879999999999999,48,0.2592049619947409,15646999999999900,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-20T00:00:00Z,0.21800000000000005,0.3575,1077,48,0.28759657027517305,17.16,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-21T00:00:00Z,0.1305,0.2350833333333333,0.705,48,0.2220696491599295,11284,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-22T00:00:00Z,0.08900000000000001,0.22135416666666666,1094,48,0.26723887549908265,10625,0.062
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-23T00:00:00Z,0.16049999999999998,0.291125,0.7490000000000001,48,0.24907604794434665,13973999999999900,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-24T00:00:00Z,0.107,0.16899999999999998,0.613,47,0.15068466931050878,7943,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-25T00:00:00Z,0.2175,0.33918750000000003,0.866,48,0.26310119857478675,16281000000000000,0.069
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-26T00:00:00Z,0.14950000000000002,0.2617083333333333,0.838,48,0.2447927441503373,12562000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-27T00:00:00Z,0.14300000000000002,0.2740000000000001,0.778,48,0.25212745847913703,13152000000000000,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-28T00:00:00Z,0.14550000000000002,0.3005208333333333,1207,48,0.29868028801773083,14425,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-29T00:00:00Z,0.152,0.3070416666666667,0.888,48,0.2644546341928976,14738,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-30T00:00:00Z,0.135,0.27685416666666673,0.782,48,0.261185756802965,13289000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2011-12-31T00:00:00Z,0.1515,0.32572916666666674,1252,48,0.3098882941898363,15635000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-01T00:00:00Z,0.151,0.25602083333333336,0.812,48,0.2252494116065079,12289,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-02T00:00:00Z,0.134,0.2520833333333333,0.851,48,0.23721296951853504,44938,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-03T00:00:00Z,0.14750000000000002,0.23550000000000004,0.674,48,0.2099953393606427,11304000000000000,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-04T00:00:00Z,0.10099999999999999,0.21627083333333327,0.731,48,0.21520576394077676,10380999999999900,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-05T00:00:00Z,0.146,0.3310208333333334,0.7859999999999999,48,0.2733733702406611,15889000000000000,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-06T00:00:00Z,0.1025,0.22364583333333332,0.765,48,0.24118700165950804,10735,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-07T00:00:00Z,0.0995,0.1373958333333333,0.5720000000000001,48,0.09449546641907676,6594999999999990,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-08T00:00:00Z,0.13699999999999998,0.2305000000000001,0.857,48,0.22124444938343366,11064000000000000,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-09T00:00:00Z,0.1345,0.26035416666666666,0.7709999999999999,48,0.24338049097354705,12497,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-10T00:00:00Z,0.1435,0.20129166666666667,0.6940000000000001,48,0.1698051396777875,9662,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-11T00:00:00Z,0.13,0.2410416666666667,0.7290000000000001,48,0.2220348792164251,21125,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-12T00:00:00Z,0.1595,0.32674999999999993,1242,48,0.29243457169665193,15683999999999900,0.068
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-13T00:00:00Z,0.08499999999999999,0.2425000020833333,14680001,48,0.2988751338609918,11640000099999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-14T00:00:00Z,0.11800000000000001,0.15895833333333326,0.693,48,0.1474219531464142,7629999999999990,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-15T00:00:00Z,0.115,0.23197916666666665,0.728,48,0.22456458954137568,11134999999999900,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-16T00:00:00Z,0.127,0.27899999999999997,0.7340000000000001,48,0.26110811325677075,13392,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-17T00:00:00Z,0.109,0.2259583333333333,0.687,48,0.22261616220247546,10845999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-18T00:00:00Z,0.1155,0.22697916666666676,0.787,48,0.22249336491023286,10895000000000000,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-19T00:00:00Z,0.128,0.243375,0.737,48,0.2370053078676653,11682,0.067
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-20T00:00:00Z,0.092,0.22464583333333327,0.7659999999999999,48,0.2394944577676453,10783,0.063
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-21T00:00:00Z,0.1195,0.17508333333333334,0.922,48,0.1825780897732481,8404000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-22T00:00:00Z,0.1015,0.17377083333333332,0.779,48,0.17894635349477792,8341000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-23T00:00:00Z,0.14200000000000002,0.2425208333333333,0.696,48,0.2215270973851428,11640999999999900,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-24T00:00:00Z,0.1325,0.2245416666666666,0.728,48,0.2126665513350362,10777999999999900,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-25T00:00:00Z,0.121,0.2395625,0.73,48,0.23768143405774186,11499,0.064
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-26T00:00:00Z,0.1325,0.2656458333333333,0.7559999999999999,48,0.24814310298039235,12750999999999900,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-27T00:00:00Z,0.09300000000000001,0.22233333333333336,0.778,48,0.2352911580956968,10672,0.067
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-28T00:00:00Z,0.0935,0.12658333333333335,0.607,48,0.0936782254799802,60760000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-29T00:00:00Z,0.1305,0.26139583333333344,0.8170000000000001,48,0.2404382293020997,12547000000000000,0.066
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-30T00:00:00Z,0.1105,0.2618958333333334,0.736,48,0.2475047594284125,12571000000000000,0.065
energy,MAC000131,2023-06-01T00:00:00Z,2012-01-31T00:00:00Z,0.138,0.24677083333333336,0.753,48,0.2252494824499529,11845,0.061
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-01T00:00:00Z,0.094,0.2429583333333334,0.7240000000000001,48,0.2376449128635601,11662000000000000,0.059
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-02T00:00:00Z,0.07400000000000001,0.22135416666666666,0.708,48,0.2364485900295249,10625,0.057
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-03T00:00:00Z,0.11,0.2610208333333333,0.7809999999999999,48,0.2517188138754536,12529000000000000,0.058
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-04T00:00:00Z,0.0945,0.21300000000000008,0.748,48,0.21290773148868872,10224000000000000,0.056
energy,MAC000131,2023-06-01T00:00:00Z,2012-02-05T00:00:00Z,0.139,0.2588124999999999,0.6609999999999999,48,0.22168423549264268,12422999999999900,0.059
